gamingresort,casinocode,departingat,arrivingat,departingairport
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,PHX
SILVER LEGACY RENO NV,TRW,11/27/22,12/01/22,IDA
SILVER LEGACY RENO NV,TRW,11/27/22,12/01/22,STS
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,BOI
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,EUG
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,ONT
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,PSP
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,PSC
SILVER LEGACY RENO NV,TRW,11/28/22,12/02/22,GEG
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,BWI
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,CLE
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,DTW
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,MSY
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,PHL
SILVER LEGACY RENO NV,TRW,11/30/22,12/05/22,RDU
SILVER LEGACY RENO NV,TRW,12/01/22,12/04/22,IDA
SILVER LEGACY RENO NV,TRW,12/01/22,12/04/22,LAX
SILVER LEGACY RENO NV,TRW,12/01/22,12/04/22,STS
SILVER LEGACY RENO NV,TRW,12/01/22,12/06/22,CLE
SILVER LEGACY RENO NV,TRW,12/01/22,12/06/22,EWR
SILVER LEGACY RENO NV,TRW,12/01/22,12/06/22,MCO
SILVER LEGACY RENO NV,TRW,12/01/22,12/06/22,PIT
SILVER LEGACY RENO NV,TRW,12/01/22,12/06/22,STL
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,BOI
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,EUG
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,LAS
SILVER LEGACY RENO NV,TRW,12/02/22,12/04/22,LGB
SILVER LEGACY RENO NV,TRW,12/02/22,12/04/22,OAK
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,ONT
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,PSP
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,PSC
SILVER LEGACY RENO NV,TRW,12/02/22,12/04/22,SAN
SILVER LEGACY RENO NV,TRW,12/02/22,12/04/22,SJC
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,GEG
SILVER LEGACY RENO NV,TRW,12/02/22,12/07/22,ORD
SILVER LEGACY RENO NV,TRW,12/02/22,12/05/22,DEN
SILVER LEGACY RENO NV,TRW,12/02/22,12/06/22,IAH
SILVER LEGACY RENO NV,TRW,12/02/22,12/07/22,MCI
SILVER LEGACY RENO NV,TRW,12/02/22,12/06/22,OKC
SILVER LEGACY RENO NV,TRW,12/02/22,12/06/22,SAT
SILVER LEGACY RENO NV,TRW,12/04/22,12/08/22,IDA
SILVER LEGACY RENO NV,TRW,12/04/22,12/08/22,STS
SILVER LEGACY RENO NV,TRW,12/04/22,12/09/22,BHM
SILVER LEGACY RENO NV,TRW,12/04/22,12/09/22,SDF
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,BOI
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,EUG
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,ONT
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,PSP
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,PSC
SILVER LEGACY RENO NV,TRW,12/05/22,12/09/22,GEG
SILVER LEGACY RENO NV,TRW,12/06/22,12/11/22,ATL
SILVER LEGACY RENO NV,TRW,12/06/22,12/11/22,MSY
SILVER LEGACY RENO NV,TRW,12/07/22,12/12/22,CLT
SILVER LEGACY RENO NV,TRW,12/07/22,12/12/22,BNA
SILVER LEGACY RENO NV,TRW,12/07/22,12/12/22,PHL
SILVER LEGACY RENO NV,TRW,12/07/22,12/12/22,TPA
SILVER LEGACY RENO NV,TRW,12/08/22,12/11/22,IDA
SILVER LEGACY RENO NV,TRW,12/08/22,12/11/22,OAK
SILVER LEGACY RENO NV,TRW,12/08/22,12/11/22,STS
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,BOS
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,BUF
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,IND
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,MCI
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,EWR
SILVER LEGACY RENO NV,TRW,12/08/22,12/13/22,RDU
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,BOI
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,EUG
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,LAS
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,LGB
SILVER LEGACY RENO NV,TRW,12/09/22,12/11/22,LAX
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,ONT
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,PSP
SILVER LEGACY RENO NV,TRW,12/09/22,12/12/22,PSC
